RunNo  CaseNo ReM      Ptot        Ttot         M            Alpha       CD            CL             CmS
4912   16   1.517142   79.897128   322.264324   0.847987127  -0.8806882  0.019382895  -0.006871039    0.156502349
4912   17   1.515228   79.981      322.90478    0.848462314  -1.927978   0.022150437  -0.148775083    0.207959963
4912   18   1.516826   79.949716   322.52186    0.848290222  -0.882336   0.019416219  -0.008856439    0.157357465
4912   19   1.516      80.011      322.967572   0.849137553   0.1671936  0.019321001   0.130599069    0.109380772
4912   20   1.516984   80.023      322.741472   0.848346294   1.220748   0.020917032   0.271840949    0.065031885
4912   21   1.515314   79.966972   322.796556   0.847967558   2.285456   0.024861684   0.423743784    0.025077091
4912   22   1.51536    79.961628   322.731772   0.84764115    2.817905   0.028611141   0.500922918    0.004200238
4912   23   1.515012   79.988      322.90794    0.847876202   3.350123   0.034759774   0.56272822    -0.005701818
4912   24   1.518028   80.068368   322.822332   0.849092917   3.616693   0.038936277   0.585847755   -0.004901522
4912   25   1.516918   80.061656   322.896532   0.848395094   3.881181   0.042734      0.609134073   -0.005518577
4912   26   1.513445   79.941212   323.005332   0.847693869   4.146351   0.046907981   0.632188357   -0.005033718
4912   27   1.515122   79.945324   322.808548   0.848198097   4.41076    0.051382914   0.653939048   -0.004853846
4912   28   1.51643    80.02292    322.796144   0.847887266   4.518144   0.053357264   0.663430821   -0.00340836
4912   29   1.517495   80.09       322.891752   0.848346111   4.62412    0.055126552   0.671352344   -0.003434884
4912   30   1.515645   80.018552   322.905636   0.847817017   4.729629   0.056703291   0.680002711   -0.003720469
4912   31   1.516528   79.973192   322.73892    0.848741647   4.836578   0.058777952   0.687157392   -0.001930923
4912   32   1.515627   79.966      322.754284   0.847883554   4.941366   0.060428638   0.696225979   -0.002177066
4912   33   1.514453   79.986196   323.015904   0.847895491   5.046999   0.062145052   0.704528751   -0.00182504
4912   34   1.514849   80.028676   322.96876    0.847015181   5.151399   0.063719534   0.713386817   -0.003454037
4912   35   1.518461   80.046736   322.656908   0.848760591   5.259034   0.066141774   0.718036761   -0.000296279
4912   36   1.515626   80.001672   322.91312    0.848197838   5.365064   0.067994232   0.726521082    0.000692808
4912   37   1.516201   79.981576   322.696276   0.847747703   5.470727   0.069829879   0.734616665    0.001263683
4912   38   1.51419    79.97598    322.898296   0.84686963    5.575308   0.071758715   0.743358907    0.001774265
4912   39   1.516708   80.01756    322.787784   0.848201637   5.683366   0.073885357   0.747401936    0.005072477
4912   40   1.516442   80.002656   322.72476    0.847735207   5.787928   0.075759915   0.754924859    0.006449626
4912   41   1.516757   80.017      322.787884   0.848257681   5.894776   0.077986033   0.759838247    0.00983917
4912   42   1.515216   80.0104     323.101912   0.848847547   5.998481   0.079771177   0.759938929    0.012500254
4912   43   1.51542    79.982124   322.921788   0.848406099   6.09682    0.080855579   0.756374257    0.013648913
4912   44   1.515821   80.007372   322.872296   0.847925373   6.198063   0.082270224   0.757689543    0.014044558
4912   45   1.516406   80.013592   322.899328   0.848717379   6.248752   0.083130805   0.756254775    0.014589759
4912   46   1.5201     80.040112   322.22698    0.848009242  -0.8806951  0.019347816  -0.006859015    0.156217331
